size,algorithm,time_us,comparisons
100,std_quick,22,27703
200,std_quick,52.2,65618
300,std_quick,89.4,113711
400,std_quick,140.6,172161
500,std_quick,189.2,238937
600,std_quick,251.2,314976
700,std_quick,322,403371
800,std_quick,411.8,501017
900,std_quick,504.2,606164
1000,std_quick,603.6,722644
1100,std_quick,703.8,850001
1200,std_quick,808.8,986605
1300,std_quick,945.8,1134496
1400,std_quick,1079.8,1291442
1500,std_quick,1220.8,1457659
1600,std_quick,1389,1636512
1700,std_quick,1576,1822965
1800,std_quick,1781,2019573
1900,std_quick,1990,2227312
2000,std_quick,2252.6,2444873
2100,std_quick,2323.8,2671092
2200,std_quick,2545,2910027
2300,std_quick,2789.8,3156834
2400,std_quick,3023.4,3413113
2500,std_quick,3451,3679439
2600,std_quick,3896.4,3955404
2700,std_quick,4753.8,4244576
2800,std_quick,3977,4541389
2900,std_quick,4286.4,4847523
3000,std_quick,4606.6,5166027
100,std_merge,25,682
200,std_merge,50.8,1457
300,std_merge,89,2335
400,std_merge,117.6,3165
500,std_merge,159.6,3910
600,std_merge,198.8,4961
700,std_merge,232,5895
800,std_merge,265.8,6787
900,std_merge,322.6,7548
1000,std_merge,351.6,8298
1100,std_merge,398.8,9416
1200,std_merge,442,10652
1300,std_merge,482.8,11610
1400,std_merge,535.8,12495
1500,std_merge,578.8,13380
1600,std_merge,627.8,14329
1700,std_merge,667,15277
1800,std_merge,706.2,16019
1900,std_merge,761.4,16925
2000,std_merge,815.8,17718
2100,std_merge,842.8,18668
2200,std_merge,894.6,19921
2300,std_merge,959.8,21066
2400,std_merge,1015.8,22413
2500,std_merge,1050.4,23350
2600,std_merge,1107.6,24528
2700,std_merge,1170.4,25409
2800,std_merge,1331.6,26556
2900,std_merge,1362,27379
3000,std_merge,1663,28360
100,string_quick,3.8,878
200,string_quick,2.8,1895
300,string_quick,4.6,3166
400,string_quick,6.6,4647
500,string_quick,24.8,6346
600,string_quick,18.2,8355
700,string_quick,15.4,10659
800,string_quick,24.8,13203
900,string_quick,22.2,16190
1000,string_quick,26.6,19324
1100,string_quick,31.4,23032
1200,string_quick,38.4,26828
1300,string_quick,41.6,30650
1400,string_quick,48.8,34698
1500,string_quick,56.4,38971
1600,string_quick,63,43872
1700,string_quick,72.4,48345
1800,string_quick,81.2,53014
1900,string_quick,91.2,57709
2000,string_quick,94.4,63010
2100,string_quick,98.2,68140
2200,string_quick,106.4,73188
2300,string_quick,124.8,79100
2400,string_quick,124.2,84420
2500,string_quick,134,90107
2600,string_quick,145,95886
2700,string_quick,148,101925
2800,string_quick,154.4,107864
2900,string_quick,161,113826
3000,string_quick,176.2,120341
100,string_merge,24.8,682
200,string_merge,54.8,1457
300,string_merge,91.8,2335
400,string_merge,118.6,3165
500,string_merge,156.8,3910
600,string_merge,187.8,4961
700,string_merge,232.8,5895
800,string_merge,271.2,6787
900,string_merge,323.2,7548
1000,string_merge,357.8,8298
1100,string_merge,467.6,9416
1200,string_merge,486.8,10652
1300,string_merge,494.4,11610
1400,string_merge,544.8,12495
1500,string_merge,592.2,13380
1600,string_merge,619.6,14329
1700,string_merge,709.4,15277
1800,string_merge,730.4,16019
1900,string_merge,798.8,16925
2000,string_merge,843,17718
2100,string_merge,934.8,18668
2200,string_merge,968.2,19921
2300,string_merge,964.4,21066
2400,string_merge,1002.6,22413
2500,string_merge,1060.6,23350
2600,string_merge,1099.4,24528
2700,string_merge,1155.6,25409
2800,string_merge,1196.2,26556
2900,string_merge,1267.8,27379
3000,string_merge,1330.8,28360
100,msd_radix,18.2,504
200,msd_radix,29.2,972
300,msd_radix,43.2,1460
400,msd_radix,59.8,1958
500,msd_radix,76.4,2472
600,msd_radix,90.2,2940
700,msd_radix,104,3444
800,msd_radix,120,3930
900,msd_radix,130,4396
1000,msd_radix,144.6,4892
1100,msd_radix,158.4,5364
1200,msd_radix,173,5848
1300,msd_radix,186.4,6312
1400,msd_radix,199.6,6790
1500,msd_radix,210.2,7266
1600,msd_radix,230.6,7742
1700,msd_radix,246.6,8232
1800,msd_radix,266.2,8728
1900,msd_radix,279.2,9218
2000,msd_radix,288.8,9716
2100,msd_radix,305.2,10206
2200,msd_radix,320,10680
2300,msd_radix,335.4,11176
2400,msd_radix,350,11684
2500,msd_radix,378.2,12178
2600,msd_radix,390,12662
2700,msd_radix,402,13138
2800,msd_radix,408.8,13618
2900,msd_radix,436,14096
3000,msd_radix,438.4,14576
100,msd_radix_quick,5.8,902
200,msd_radix_quick,8.4,1876
300,msd_radix_quick,12.2,2863
400,msd_radix_quick,15.8,3856
500,msd_radix_quick,21.4,4873
600,msd_radix_quick,26.4,5778
700,msd_radix_quick,29.4,6771
800,msd_radix_quick,33.2,7756
900,msd_radix_quick,37,8699
1000,msd_radix_quick,40.6,9572
1100,msd_radix_quick,47,10601
1200,msd_radix_quick,51.4,11607
1300,msd_radix_quick,55.6,12502
1400,msd_radix_quick,58.8,13427
1500,msd_radix_quick,62.2,14408
1600,msd_radix_quick,70,15389
1700,msd_radix_quick,76.8,16353
1800,msd_radix_quick,85,17298
1900,msd_radix_quick,87,18329
2000,msd_radix_quick,93.6,19318
2100,msd_radix_quick,94.8,20242
2200,msd_radix_quick,99.8,21174
2300,msd_radix_quick,104,22163
2400,msd_radix_quick,105.6,23150
2500,msd_radix_quick,119.6,24082
2600,msd_radix_quick,126.2,25054
2700,msd_radix_quick,125.8,25964
2800,msd_radix_quick,128.6,26944
2900,msd_radix_quick,137.4,27864
3000,msd_radix_quick,139.2,28876
