size,algorithm,time_us,comparisons
100,std_quick,18.8,14754
200,std_quick,38.8,30360
300,std_quick,70.2,47667
400,std_quick,85,63625
500,std_quick,109.6,82060
600,std_quick,131.4,98833
700,std_quick,157.2,118593
800,std_quick,177.8,134797
900,std_quick,187.8,147282
1000,std_quick,222.4,169055
1100,std_quick,237.8,183820
1200,std_quick,267.6,204672
1300,std_quick,280,217517
1400,std_quick,299.6,240461
1500,std_quick,332.6,263832
1600,std_quick,322.6,266631
1700,std_quick,362,297573
1800,std_quick,373,309039
1900,std_quick,394.2,333444
2000,std_quick,393.6,343782
2100,std_quick,419,359352
2200,std_quick,425,376779
2300,std_quick,456.4,403714
2400,std_quick,467.4,427043
2500,std_quick,499.8,440691
2600,std_quick,503.6,456083
2700,std_quick,520.2,462539
2800,std_quick,528,479389
2900,std_quick,577,511215
3000,std_quick,584.6,529186
100,std_merge,44.2,597
200,std_merge,69.8,1506
300,std_merge,120.4,2541
400,std_merge,158.6,3671
500,std_merge,215.4,4836
600,std_merge,271.4,6133
700,std_merge,345,7436
800,std_merge,385.4,8790
900,std_merge,452.8,10191
1000,std_merge,524.2,11570
1100,std_merge,566,13048
1200,std_merge,641.6,14598
1300,std_merge,699.8,16084
1400,std_merge,762.8,17626
1500,std_merge,831.2,19172
1600,std_merge,894.6,20778
1700,std_merge,951.4,22394
1800,std_merge,1045,23963
1900,std_merge,1097.8,25566
2000,std_merge,1144.8,27182
2100,std_merge,1218.8,28862
2200,std_merge,1291.6,30614
2300,std_merge,1370.6,32312
2400,std_merge,1433.2,34041
2500,std_merge,1499,35772
2600,std_merge,1560,37528
2700,std_merge,1658.4,39239
2800,std_merge,1718.2,41038
2900,std_merge,1773.8,42803
3000,std_merge,1850.6,44567
100,string_quick,2,787
200,string_quick,4.2,1934
300,string_quick,6,2904
400,string_quick,8.6,4035
500,string_quick,11.8,5447
600,string_quick,15.2,6838
700,string_quick,16.8,7582
800,string_quick,19.4,8881
900,string_quick,23.4,10530
1000,string_quick,28,12045
1100,string_quick,29.8,12850
1200,string_quick,33.4,14531
1300,string_quick,38.4,15962
1400,string_quick,41.8,16866
1500,string_quick,45,18697
1600,string_quick,55.8,20464
1700,string_quick,55.2,21648
1800,string_quick,59.8,23195
1900,string_quick,64,25335
2000,string_quick,71,26401
2100,string_quick,73.6,28411
2200,string_quick,81.4,28077
2300,string_quick,81.8,31226
2400,string_quick,95.4,32501
2500,string_quick,90.8,32972
2600,string_quick,104.8,34352
2700,string_quick,107.8,36253
2800,string_quick,121.6,36405
2900,string_quick,115,38037
3000,string_quick,132.2,41659
100,string_merge,30.4,597
200,string_merge,60,1506
300,string_merge,108.8,2541
400,string_merge,147.2,3671
500,string_merge,199,4836
600,string_merge,257.2,6133
700,string_merge,317.4,7436
800,string_merge,373.4,8790
900,string_merge,442.6,10191
1000,string_merge,481,11570
1100,string_merge,554.8,13048
1200,string_merge,626.4,14598
1300,string_merge,681.6,16084
1400,string_merge,742,17626
1500,string_merge,818,19172
1600,string_merge,870.6,20778
1700,string_merge,936.2,22394
1800,string_merge,1021.6,23963
1900,string_merge,1067.4,25566
2000,string_merge,1132.4,27182
2100,string_merge,1193.2,28862
2200,string_merge,1283.6,30614
2300,string_merge,1346,32312
2400,string_merge,1433.8,34041
2500,string_merge,1489.6,35772
2600,string_merge,1551.2,37528
2700,string_merge,1636.6,39239
2800,string_merge,1693,41038
2900,string_merge,1791.2,42803
3000,string_merge,1913.2,44567
100,msd_radix,20.2,350
200,msd_radix,38.2,792
300,msd_radix,53.2,1226
400,msd_radix,64.6,1652
500,msd_radix,75.8,2090
600,msd_radix,89.4,2518
700,msd_radix,100.4,2962
800,msd_radix,114,3408
900,msd_radix,128.8,3876
1000,msd_radix,142.2,4328
1100,msd_radix,158.2,4778
1200,msd_radix,174,5266
1300,msd_radix,193.2,5726
1400,msd_radix,212,6216
1500,msd_radix,226.2,6690
1600,msd_radix,253.8,7246
1700,msd_radix,269.4,7752
1800,msd_radix,282.2,8252
1900,msd_radix,295,8742
2000,msd_radix,314.2,9234
2100,msd_radix,333.2,9734
2200,msd_radix,360.2,10240
2300,msd_radix,373.4,10748
2400,msd_radix,399.4,11248
2500,msd_radix,423,11806
2600,msd_radix,446,12330
2700,msd_radix,533,12850
2800,msd_radix,481.6,13406
2900,msd_radix,505.8,13974
3000,msd_radix,534,14526
100,msd_radix_quick,6,289
200,msd_radix_quick,12.4,730
300,msd_radix_quick,14.6,1203
400,msd_radix_quick,20,1743
500,msd_radix_quick,25,2332
600,msd_radix_quick,32.4,2928
700,msd_radix_quick,37.4,3641
800,msd_radix_quick,42.8,4299
900,msd_radix_quick,47.6,5010
1000,msd_radix_quick,54.2,5731
1100,msd_radix_quick,62.8,6403
1200,msd_radix_quick,67.4,7164
1300,msd_radix_quick,77.4,7960
1400,msd_radix_quick,83.4,8617
1500,msd_radix_quick,89.2,9481
1600,msd_radix_quick,94.2,10192
1700,msd_radix_quick,103.2,10992
1800,msd_radix_quick,117,11977
1900,msd_radix_quick,194.8,12796
2000,msd_radix_quick,124.8,13595
2100,msd_radix_quick,209.6,14514
2200,msd_radix_quick,149.6,15319
2300,msd_radix_quick,149.8,16269
2400,msd_radix_quick,155.6,17178
2500,msd_radix_quick,166,18045
2600,msd_radix_quick,175,18830
2700,msd_radix_quick,176.8,19678
2800,msd_radix_quick,187.4,20613
2900,msd_radix_quick,192.4,21658
3000,msd_radix_quick,199.6,22389
