size,algorithm,time_us,comparisons
100,std_quick,24.2,27472
200,std_quick,57.8,64287
300,std_quick,97.6,112481
400,std_quick,150,172287
500,std_quick,205.2,239357
600,std_quick,271.4,316126
700,std_quick,349,403426
800,std_quick,430,501655
900,std_quick,519.2,607669
1000,std_quick,619,724249
1100,std_quick,729.6,852736
1200,std_quick,833,990034
1300,std_quick,972.8,1137465
1400,std_quick,1087.6,1293073
1500,std_quick,1229.2,1462996
1600,std_quick,1369.2,1641619
1700,std_quick,1518,1829758
1800,std_quick,1725.8,2027711
1900,std_quick,1900.4,2233614
2000,std_quick,2085,2450987
2100,std_quick,2269,2680834
2200,std_quick,2481,2919056
2300,std_quick,2677.6,3167349
2400,std_quick,2918.2,3425295
2500,std_quick,3170,3693260
2600,std_quick,3382.8,3972966
2700,std_quick,3647.4,4261845
2800,std_quick,4077,4560719
2900,std_quick,4334,4866863
3000,std_quick,4581.2,5186398
100,std_merge,30.8,602
200,std_merge,58.2,1334
300,std_merge,100,2035
400,std_merge,130,2874
500,std_merge,173.6,3786
600,std_merge,218.2,4440
700,std_merge,263.8,5317
800,std_merge,299.4,6164
900,std_merge,355.6,6976
1000,std_merge,390.4,8053
1100,std_merge,452.8,8700
1200,std_merge,481.2,9498
1300,std_merge,543.4,10290
1400,std_merge,585.4,11245
1500,std_merge,623,12056
1600,std_merge,679.8,13062
1700,std_merge,728.4,13829
1800,std_merge,795.8,14967
1900,std_merge,831,15937
2000,std_merge,875,17217
2100,std_merge,935.6,17938
2200,std_merge,990.2,18666
2300,std_merge,1061.8,19437
2400,std_merge,1103,20238
2500,std_merge,1159.8,20956
2600,std_merge,1230.4,21996
2700,std_merge,1284,22519
2800,std_merge,1362,23932
2900,std_merge,1380.4,24667
3000,std_merge,1457,25731
100,string_quick,1.6,1259
200,string_quick,4.2,2908
300,string_quick,7.2,4634
400,string_quick,10.2,6806
500,string_quick,13.6,9012
600,string_quick,17.2,11580
700,string_quick,21.8,14778
800,string_quick,24.8,17107
900,string_quick,29.8,20414
1000,string_quick,37,25419
1100,string_quick,42.4,29381
1200,string_quick,45.6,31738
1300,string_quick,53.6,37037
1400,string_quick,60,41718
1500,string_quick,66.2,46781
1600,string_quick,74.2,51017
1700,string_quick,83.4,56739
1800,string_quick,93.2,64123
1900,string_quick,98.2,68029
2000,string_quick,108.8,74304
2100,string_quick,120.4,80529
2200,string_quick,129.4,86627
2300,string_quick,144,94959
2400,string_quick,151.2,99887
2500,string_quick,164.8,107402
2600,string_quick,177,115051
2700,string_quick,188.8,124669
2800,string_quick,199.6,131642
2900,string_quick,210.8,139791
3000,string_quick,218.4,147439
100,string_merge,30.4,602
200,string_merge,58.4,1334
300,string_merge,97.4,2035
400,string_merge,129.6,2874
500,string_merge,170.2,3786
600,string_merge,214,4440
700,string_merge,257,5317
800,string_merge,302.8,6164
900,string_merge,424.2,6976
1000,string_merge,411.8,8053
1100,string_merge,452.8,8700
1200,string_merge,500,9498
1300,string_merge,555.4,10290
1400,string_merge,657.6,11245
1500,string_merge,717.6,12056
1600,string_merge,700.6,13062
1700,string_merge,830.4,13829
1800,string_merge,874.8,14967
1900,string_merge,866.6,15937
2000,string_merge,915.6,17217
2100,string_merge,1020.4,17938
2200,string_merge,1021.4,18666
2300,string_merge,1055,19437
2400,string_merge,1178.8,20238
2500,string_merge,1239.2,20956
2600,string_merge,1248.2,21996
2700,string_merge,1378.4,22519
2800,string_merge,1347,23932
2900,string_merge,1447.4,24667
3000,string_merge,1427,25731
100,msd_radix,18,474
200,msd_radix,34.4,974
300,msd_radix,52,1466
400,msd_radix,70,1952
500,msd_radix,85.6,2432
600,msd_radix,102.8,2894
700,msd_radix,118.4,3386
800,msd_radix,135.6,3866
900,msd_radix,146.6,4328
1000,msd_radix,166.6,4812
1100,msd_radix,185.4,5290
1200,msd_radix,214.4,5784
1300,msd_radix,229,6268
1400,msd_radix,240,6732
1500,msd_radix,255.2,7228
1600,msd_radix,273.8,7718
1700,msd_radix,286.2,8208
1800,msd_radix,306.2,8714
1900,msd_radix,326,9206
2000,msd_radix,347,9688
2100,msd_radix,410.2,10176
2200,msd_radix,409,10656
2300,msd_radix,405.2,11128
2400,msd_radix,420.2,11600
2500,msd_radix,440.6,12092
2600,msd_radix,449.6,12532
2700,msd_radix,505,13010
2800,msd_radix,490.4,13506
2900,msd_radix,557.6,14000
3000,msd_radix,543.4,14472
100,msd_radix_quick,7.6,1782
200,msd_radix_quick,13.8,3840
300,msd_radix_quick,20.2,5776
400,msd_radix_quick,26.6,7520
500,msd_radix_quick,32.6,9248
600,msd_radix_quick,43.6,11214
700,msd_radix_quick,49.8,12908
800,msd_radix_quick,56.2,14892
900,msd_radix_quick,64,16575
1000,msd_radix_quick,70.8,18773
1100,msd_radix_quick,81.4,20553
1200,msd_radix_quick,87.8,22393
1300,msd_radix_quick,100.2,24257
1400,msd_radix_quick,106.2,26363
1500,msd_radix_quick,111,28604
1600,msd_radix_quick,121.8,30266
1700,msd_radix_quick,132.4,32198
1800,msd_radix_quick,135.2,34061
1900,msd_radix_quick,142.8,35869
2000,msd_radix_quick,152.8,37716
2100,msd_radix_quick,160.4,39689
2200,msd_radix_quick,179.4,41929
2300,msd_radix_quick,176.6,43829
2400,msd_radix_quick,190.2,45532
2500,msd_radix_quick,195.2,47342
2600,msd_radix_quick,204.4,49115
2700,msd_radix_quick,210.2,51102
2800,msd_radix_quick,229.4,53002
2900,msd_radix_quick,232.2,54886
3000,msd_radix_quick,238.4,57070
