size,algorithm,time_us,comparisons
100,std_quick,39.8,60850
200,std_quick,82.6,127883
300,std_quick,124.8,186382
400,std_quick,183,278921
500,std_quick,231.2,359477
600,std_quick,288.6,438260
700,std_quick,377.2,576568
800,std_quick,402.4,611575
900,std_quick,443.2,676396
1000,std_quick,487.2,745815
1100,std_quick,537.4,830611
1200,std_quick,597.2,920754
1300,std_quick,664.2,1016169
1400,std_quick,742.4,1091746
1500,std_quick,795.2,1231625
1600,std_quick,827.2,1254482
1700,std_quick,867.2,1313627
1800,std_quick,895.4,1359699
1900,std_quick,881.8,1333851
2000,std_quick,912.4,1360923
2100,std_quick,947.4,1374820
2200,std_quick,939,1419521
2300,std_quick,915,1343212
2400,std_quick,984.2,1382516
2500,std_quick,1008.4,1479436
2600,std_quick,1007.4,1455705
2700,std_quick,1113.8,1562299
2800,std_quick,1052.4,1486302
2900,std_quick,1069.6,1498726
3000,std_quick,1121,1468716
100,std_merge,44.6,23115
200,std_merge,102.8,54520
300,std_merge,170.4,89142
400,std_merge,230.6,126101
500,std_merge,301.8,163240
600,std_merge,381.8,203599
700,std_merge,462.4,243981
800,std_merge,542,285978
900,std_merge,634,327142
1000,std_merge,689,368614
1100,std_merge,770.8,413624
1200,std_merge,865.6,458314
1300,std_merge,981.4,502648
1400,std_merge,1026.4,547616
1500,std_merge,1123.6,591358
1600,std_merge,1220.2,596480
1700,std_merge,1228.8,603813
1800,std_merge,1308.2,604020
1900,std_merge,1377.4,609210
2000,std_merge,1406.2,601944
2100,std_merge,1481.4,608511
2200,std_merge,1551.6,614383
2300,std_merge,1605.2,621408
2400,std_merge,1677.4,622960
2500,std_merge,1750.6,629760
2600,std_merge,1833,637782
2700,std_merge,1898.6,642255
2800,std_merge,1976.4,653044
2900,std_merge,2064,662193
3000,std_merge,2096,613766
100,string_quick,7,4884
200,string_quick,12.8,10015
300,string_quick,17,15030
400,string_quick,22.8,20031
500,string_quick,30.8,25678
600,string_quick,35.6,31368
700,string_quick,40,35994
800,string_quick,46.4,40487
900,string_quick,53.2,46738
1000,string_quick,61.6,52566
1100,string_quick,68.4,57458
1200,string_quick,74.4,62551
1300,string_quick,81.4,67740
1400,string_quick,93.4,74949
1500,string_quick,97.8,78747
1600,string_quick,99.8,79474
1700,string_quick,105.8,79836
1800,string_quick,109.4,83551
1900,string_quick,110.2,80942
2000,string_quick,114.2,83526
2100,string_quick,122.2,83873
2200,string_quick,123.4,84237
2300,string_quick,134.2,85927
2400,string_quick,131.2,86726
2500,string_quick,140,89581
2600,string_quick,141.4,91788
2700,string_quick,152.8,91089
2800,string_quick,147,90488
2900,string_quick,162,93026
3000,string_quick,159.4,96854
100,string_merge,45.4,23115
200,string_merge,100.4,54520
300,string_merge,165,89142
400,string_merge,229.4,126101
500,string_merge,304,163240
600,string_merge,384,203599
700,string_merge,454.6,243981
800,string_merge,531.4,285978
900,string_merge,613.8,327142
1000,string_merge,684,368614
1100,string_merge,765.4,413624
1200,string_merge,865.2,458314
1300,string_merge,937.4,502648
1400,string_merge,1022.2,547616
1500,string_merge,1104.6,591358
1600,string_merge,1166.6,596480
1700,string_merge,1219,603813
1800,string_merge,1275.8,604020
1900,string_merge,1325.6,609210
2000,string_merge,1400.4,601944
2100,string_merge,1530.8,608511
2200,string_merge,1588.2,614383
2300,string_merge,1644.2,621408
2400,string_merge,1749.4,622960
2500,string_merge,1831.4,629760
2600,string_merge,1969,637782
2700,string_merge,2044.4,642255
2800,string_merge,2060,653044
2900,string_merge,2128.8,662193
3000,string_merge,2138.6,613766
100,msd_radix,87.2,8554
200,msd_radix,152.2,17202
300,msd_radix,220.6,25816
400,msd_radix,337.6,34444
500,msd_radix,370.8,43086
600,msd_radix,417.2,51724
700,msd_radix,487.6,60376
800,msd_radix,557.6,69038
900,msd_radix,623.2,77700
1000,msd_radix,676.8,86344
1100,msd_radix,758.8,95014
1200,msd_radix,847,103682
1300,msd_radix,929.8,112362
1400,msd_radix,1007.2,121024
1500,msd_radix,1213,129740
1600,msd_radix,1340.4,130108
1700,msd_radix,1443,130518
1800,msd_radix,1208.2,130944
1900,msd_radix,1190.4,131384
2000,msd_radix,1196.8,131814
2100,msd_radix,1230.8,132254
2200,msd_radix,1271.8,132712
2300,msd_radix,1761.6,133158
2400,msd_radix,1360,133614
2500,msd_radix,1314.4,134078
2600,msd_radix,1372.6,134536
2700,msd_radix,1581,135004
2800,msd_radix,2080.2,135448
2900,msd_radix,1569.8,135938
3000,msd_radix,1538.8,136434
100,msd_radix_quick,70.6,8499
200,msd_radix_quick,123.6,17119
300,msd_radix_quick,179.8,25801
400,msd_radix_quick,238.8,34546
500,msd_radix_quick,479,43315
600,msd_radix_quick,362.4,52112
700,msd_radix_quick,543.8,60994
800,msd_radix_quick,807.4,69853
900,msd_radix_quick,568.4,78735
